Time(s),Source cell ID,Destination cell ID
750.4,16,12
750.8,17,13
750.9,17,13
751.2,18,19
751.6,17,2
753.2,2,17
753.2,11,10
753.2,13,17
753.4,10,14
753.4,13,17
754.1,18,14
754.7,9,10
755.2,2,17
755.3,13,17
755.4,3,2
755.7,12,7
756.1,9,10
756.3,12,7
756.5,9,10
756.7,14,10
756.7,18,15
756.8,5,1
757.2,3,2
757.5,7,8
757.5,9,5
757.9,10,11
758.1,14,10
758.5,5,1
758.5,15,19
758.8,14,10
759.0,4,5
759.5,14,10
759.6,2,1
760.4,5,1
760.9,17,2
761.3,5,9
761.5,10,9
764.0,16,1
764.5,7,12
765.0,7,6
766.1,7,12
766.4,7,6
766.6,10,14
766.7,7,12
767.5,7,6
767.6,7,8
768.6,7,6
768.7,7,8
769.3,7,13
770.2,6,2
770.5,10,9
771.2,10,14
771.6,4,8
772.6,4,19
772.8,10,9
773.3,10,15
773.4,10,14
774.6,12,11
774.9,19,15
775.3,2,6
776.6,10,9
776.7,9,13
776.9,19,15
778.1,10,9
778.1,17,13
778.2,9,8
778.4,17,13
778.6,11,12
778.8,2,3
779.2,17,13
779.3,19,3
780.4,19,15
780.8,17,13
780.9,17,2
781.7,17,13
781.7,19,4
782.3,15,18
782.8,10,14
783.2,16,11
783.9,6,3
786.1,1,2
786.1,10,5
786.1,12,11
786.4,1,2
786.9,12,11
787.2,1,16
788.0,1,5
788.2,1,5
788.8,15,19
788.9,3,6
789.0,3,6
789.6,3,6
790.2,13,17
790.4,15,18
790.5,1,5
794.2,5,10
794.4,16,19
794.9,16,15
795.7,2,6
796.3,11,12
797.0,14,10
797.3,2,17
797.3,14,10
798.0,15,18
798.1,4,5
798.8,2,17
799.2,2,5
799.3,10,5
799.9,6,10
801.1,10,11
802.0,15,19
802.7,10,14
803.7,11,16
804.1,10,5
804.4,2,1
804.9,9,5
805.0,9,10
805.8,17,12
806.0,13,7
806.1,5,1
806.1,6,7
806.5,5,1
806.6,2,5
806.7,9,5
806.9,17,2
807.0,15,16
808.5,6,2
808.7,17,2
808.8,17,13
809.0,5,1
809.3,5,1
809.3,14,10
809.5,6,7
809.5,14,10
810.0,15,19
810.3,15,18
811.0,8,7
812.8,1,12
813.0,6,3
813.2,6,3
813.4,13,12
813.5,11,12
814.8,6,10
814.9,6,7
815.4,10,14
815.8,5,10
818.1,5,9
818.6,7,6
819.4,8,19
820.1,16,15
820.4,7,13
821.6,10,15
821.6,15,18
821.7,5,4
821.8,17,13
823.0,5,1
824.3,19,15
826.0,18,15
826.6,1,2
826.6,8,7
828.3,14,10
829.4,12,11
829.5,5,4
829.6,14,10
832.3,5,4
832.4,5,4
833.9,9,10
834.0,16,19
835.0,15,19
835.4,5,10
835.9,10,14
836.1,2,17
837.3,1,2
837.4,1,2
837.7,1,2
837.7,1,2
837.8,6,3
838.4,5,10
838.4,10,9
838.8,1,2
839.0,13,17
839.9,13,17
840.2,8,13
841.2,16,12
841.6,16,12
841.6,19,15
843.7,4,9
843.9,2,1
844.0,2,1
845.5,1,2
845.5,16,11
845.5,19,15
845.8,1,2
846.4,10,15
847.2,2,6
847.5,11,12
848.2,14,13
848.4,2,6
849.0,12,13
849.5,4,9
849.7,17,13
850.4,10,15
850.4,15,18
850.4,18,17
851.1,16,11
852.1,4,9
852.7,2,1
852.7,13,8
853.4,2,1
853.5,2,1
853.6,1,12
853.6,2,1
853.9,18,15
854.1,14,13
854.6,10,6
855.1,2,18
855.2,10,14
855.2,14,13
856.1,2,1
856.1,17,13
856.2,1,12
857.3,15,18
857.6,2,1
858.4,3,6
858.7,13,17
859.4,3,7
860.1,12,1
860.7,10,5
861.2,19,15
864.2,12,1
864.7,13,17
864.8,7,6
865.0,15,18
866.3,12,17
866.9,13,12
866.9,15,14
867.0,15,16
867.2,12,16
867.5,10,9
867.6,9,13
868.2,11,16
868.2,15,19
868.7,18,17
868.8,12,1
869.3,15,16
870.1,6,3
872.2,5,1
872.4,6,3
875.1,8,13
875.3,8,13
875.8,14,15
876.4,1,16
876.4,3,7
877.0,13,12
877.2,1,2
877.8,1,2
877.9,19,15
878.9,18,15
879.1,3,7
879.2,1,16
879.8,12,13
880.1,11,10
880.8,17,2
881.3,2,5
881.6,11,12
881.8,13,8
882.3,2,3
882.8,10,5
883.7,18,15
883.8,10,14
884.0,4,9
884.2,13,8
884.3,7,3
884.5,16,1
885.3,6,5
886.2,16,19
886.4,18,19
886.5,18,15
887.0,18,15
887.4,7,8
887.5,7,3
888.5,10,5
888.8,13,14
889.5,9,4
890.6,8,9
890.6,13,14
891.1,3,2
891.8,10,11
891.9,3,6
892.3,10,14
892.3,14,13
892.4,13,12
892.5,8,7
892.9,12,13
893.5,15,14
894.0,10,14
894.6,8,7
895.1,1,5
895.1,17,2
895.2,15,14
895.4,3,19
895.4,3,7
896.1,9,4
896.4,13,14
896.4,19,15
898.3,10,9
898.4,16,19
898.7,17,13
898.9,19,18
899.8,12,13
