Time(s),Source cell ID,Destination cell ID
186.9,4,8
186.9,11,7
187.4,17,1
187.7,7,13
187.7,19,8
188.9,4,16
188.9,14,15
191.2,4,8
191.6,15,14
191.7,9,14
191.7,11,7
192.0,13,9
193.2,3,18
193.6,19,8
193.9,13,7
194.2,3,7
195.4,7,6
195.9,5,1
197.0,7,8
197.2,13,7
197.6,16,1
197.8,7,12
197.8,12,16
198.1,7,11
198.6,7,12
199.3,9,8
200.0,15,10
200.5,7,12
201.4,18,3
201.5,7,3
201.5,15,10
201.6,2,17
201.9,9,8
201.9,16,12
202.7,9,8
202.9,6,7
203.4,18,2
203.5,18,17
204.1,1,17
204.1,7,13
204.5,1,16
204.7,8,13
205.0,5,6
205.3,9,13
206.4,1,2
208.3,11,7
209.1,15,10
209.1,15,16
210.4,8,7
210.5,15,16
210.7,12,13
211.1,8,19
212.3,5,10
212.6,12,17
212.7,12,17
213.0,5,10
213.2,1,17
213.6,17,2
213.7,12,16
213.9,12,7
214.1,18,17
214.4,1,17
214.7,18,2
215.1,7,8
215.1,7,13
215.1,8,9
215.6,17,13
216.1,10,9
216.3,13,9
216.7,17,1
217.1,10,9
217.3,17,2
218.3,17,1
218.3,19,8
218.7,19,16
219.0,2,1
219.6,8,13
219.8,13,17
220.3,2,3
221.1,14,9
221.3,6,10
221.9,10,5
222.0,5,2
222.0,14,9
222.0,14,10
222.0,16,12
222.3,10,5
222.7,7,12
222.7,8,4
224.3,6,2
224.4,16,15
224.7,16,15
224.8,6,7
224.9,10,15
225.5,16,19
225.6,8,19
225.9,10,9
225.9,13,17
226.0,10,9
226.3,8,19
226.5,11,7
227.0,8,9
228.0,4,9
228.1,7,12
228.1,11,7
228.5,4,9
228.5,15,16
228.7,6,7
229.5,10,9
229.6,10,9
229.9,7,12
229.9,13,17
230.4,12,16
230.5,10,9
231.0,7,12
231.5,10,15
232.0,10,9
232.8,8,3
233.1,7,3
233.3,1,17
233.9,5,9
233.9,7,6
235.1,9,4
235.2,16,12
235.5,7,12
235.6,2,3
235.8,9,8
235.9,8,3
236.0,9,4
236.2,9,14
238.3,13,9
238.5,8,7
238.8,13,12
239.2,8,9
239.3,7,6
239.3,8,4
239.5,8,9
239.5,12,16
239.6,8,9
